dst	strategy
0624.frag	none
0625.frag	none
0626.frag	none
0627.frag	none
0628.frag	none
0629.frag	none
0630.frag	none
0631.frag	none
0632.frag	none
0633.frag	none
0634.frag	none
0635.frag	none
0636.frag	none
0637.frag	none
0638.frag	none
0639.frag	none
0640.frag	none
0641.frag	none
0642.frag	none
0643.frag	none
0644.frag	none
0645.frag	none
0646.frag	none
0647.frag	none
0648.frag	none
0649.frag	none
0650.frag	zoomex
0651.frag	rotzoom
0652.frag	zoomex
0653.frag	zoom
0654.frag	zoom
0655.frag	zoom
0656.frag	zoom
0657.frag	zoomex2
0658.frag	zoomex2
0659.frag	zoomex
0660.frag	zoomex2
0661.frag	zoomex2
0662.frag	zoomex2
0663.frag	zoomex2
0664.frag	stretch
0665.frag	zoomex
0666.frag	zoomex
0667.frag	zoomex2
0668.frag	zoomex2
0669.frag	zoom
0670.frag	zoom
0671.frag	zoom
0672.frag	zoom
0673.frag	zoom
0674.frag	rotzoomex2
0675.frag	zoomex
0676.frag	stretch
0677.frag	zoomex
0678.frag	zoom
0679.frag	rotzoom
0680.frag	zoomex
0681.frag	rotzoom
0682.frag	zoom
0683.frag	zoomex2
0684.frag	zoom
0685.frag	zoomex
0686.frag	zoomex
0687.frag	zoomex
0688.frag	zoomex2
0689.frag	zoom
0690.frag	zoom
0691.frag	zoom
0692.frag	rotzoom
0693.frag	zoomex2
0694.frag	none
0695.frag	zoom
0696.frag	zoom
0697.frag	zoomex
0698.frag	zoomex
0699.frag	zoom
0700.frag	none
0701.frag	zoom
0702.frag	none
0703.frag	none
0704.frag	none
0705.frag	none
0706.frag	zoom
0707.frag	zoomex2
0708.frag	none
0709.frag	none
0710.frag	none
0711.frag	none
0712.frag	zoomex
0713.frag	zoomex
0714.frag	none
0715.frag	none
0716.frag	zoomex
0717.frag	none
0718.frag	none
0719.frag	zoomex
0720.frag	zoom
0721.frag	none
0722.frag	none
0723.frag	none
0724.frag	none
0725.frag	none
0726.frag	rotzoomex2
0727.frag	none
0728.frag	zoom
0729.frag	zoomex2
0730.frag	none
0731.frag	none
0732.frag	none
0733.frag	none
0734.frag	none
0735.frag	none
0736.frag	none
0737.frag	none
0738.frag	zoom
0739.frag	none
0740.frag	none
0741.frag	zoomex2
0742.frag	none
0743.frag	none
0744.frag	none
0745.frag	none
0746.frag	none
0747.frag	none
0748.frag	none
0749.frag	rotzoomex2
0750.frag	zoomex
0751.frag	zoomex
0752.frag	none
0753.frag	none
0754.frag	zoom
0755.frag	zoom
0756.frag	zoomex2
0757.frag	none
0758.frag	zoom
0759.frag	none
0760.frag	none
0761.frag	none
0762.frag	zoom
0763.frag	none
0764.frag	none
0765.frag	none
0766.frag	none
0767.frag	none
0768.frag	none
0769.frag	zoom
0770.frag	none
0771.frag	none
0772.frag	none
0773.frag	none
0774.frag	none
0775.frag	zoom
0776.frag	none
0777.frag	none
0778.frag	none
0779.frag	none
0780.frag	none
0781.frag	none
0782.frag	zoomex
0783.frag	zoom
0784.frag	zoomex2
0785.frag	none
0786.frag	none
0787.frag	none
0788.frag	none
0789.frag	none
0790.frag	none
0791.frag	zoom
0792.frag	zoom
0793.frag	none
0794.frag	none
0795.frag	zoom
0796.frag	none
0797.frag	none
0798.frag	zoom
0799.frag	zoomex2
0800.frag	none
0801.frag	zoom
0802.frag	none
0803.frag	zoomex2
0804.frag	none
0805.frag	none
0806.frag	none
0807.frag	none
0808.frag	zoomex2
0809.frag	none
0810.frag	none
0811.frag	rotzoomex2
0812.frag	none
0813.frag	none
0814.frag	none
0815.frag	none
0816.frag	none
0817.frag	none
0818.frag	none
0819.frag	none
0820.frag	zoomex2
0821.frag	none
0822.frag	none
0823.frag	zoomex2
0824.frag	none
0825.frag	none
0826.frag	none
0827.frag	none
0828.frag	rotzoomex2
0829.frag	zoomex2
0830.frag	none
0831.frag	none
0832.frag	none
0833.frag	none
0834.frag	zoomex
0835.frag	none
0836.frag	none
0837.frag	none
0838.frag	none
0839.frag	none
0840.frag	none
0841.frag	zoomex2
0842.frag	none
0843.frag	none
